guid,Section,Category,Mechanism,title,FOA Number,Content,Application Receipt Date,Application Receipt Date - Other,Expiration Date,Highlighted,Default,published
259,Selected NCI-Led Opportunities,Research Projects,R21,U.S.-Russia Bilateral Collaborative Research Partnerships on Cancer (R21),,,4-Nov-16,,5-Nov-16,0,0,1
260,Selected NIH Opportunities ,Research Projects,R21,NIBIB Trailblazer Award for New and Early Stage Investigators (R21),,,,Standard dates apply ,8-Sep-19,0,0,1
261,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R43/R44,Novel Methods for Obtaining Molecular Information from Archived Tissue Samples (R43/R44),,,5-Dec-16,,6-Dec-16,0,0,1
262,Selected NCI-Led Opportunities,Training/Education/Conference Support,K23,NCI Mentored Patient-Oriented Research Career Development Award to Promote Diversity (K23),PAR-16-399,,,Standard dates apply,8-Jan-18,0,0,1
263,Selected NCI-Led Opportunities,Training/Education/Conference Support,K08,NCI Mentored Clinical Scientist Research Career Development Award to Promote Diversity (K08),PAR-16-400,,,Standard dates apply,8-Jan-18,0,0,1
264,Selected NCI-Led Opportunities,Training/Education/Conference Support,K01,NCI Mentored Research Scientist Development Award to Promote Diversity (K01),PAR-16-401,,,Standard dates apply,8-Jan-18,0,0,1
265,Selected NCI Opportunities,Training/Education/Conference Support,R25,BD2K Research Education Curriculum Development: Data Science Overview for Biomedical Scientists (R25),RFA-ES-16-011,,"December 7, 2016; December 1, 2017",,2-Dec-17,0,0,1
266,Selected NCI Opportunities,Training/Education/Conference Support,R25,NIH Big Data to Knowledge (BD2K) Enhancing Diversity in Biomedical Data Science (R25),RFA-MD-16-002,,14-Nov-16,,15-Nov-16,0,0,1
custom267,Selected NCI Opportunities,SBIR/STTR; Non-Grant Research Support; Research Projects,SBIR,NCI Small Business Innovation Research (SBIR) Contract Solicitation,NOT-OD-16-123,Topics of note: NIH/NCI 356 - Tools and Technologies for Monitoring RNA; NIH/NCI 362 - Informatics Tools to Measure Cancer Care Coordination; NIH/NCI 363 - Connecting Cancer Caregivers to Care Teams: Digital Platforms to Support Informal Cancer Caregiving,21-Oct-16,,10/22/2016,0,0,0
268,Selected NIH Opportunities ,Research Projects,R01,NLM Express Research Grants in Biomedical Informatics (R01),PAR-16-404,,,Standard dates apply,8-Sep-19,0,0,1
269,Selected NCI Opportunities,Cooperative Agreements; Research Projects,U01,Big Data to Knowledge (BD2K) Enhancing the Efficiency and Effectiveness of Digital Curation for Biomedical Big Data (U01),RFA-LM-17-001,,15-Dec-16,,16-Dec-16,0,0,1
270,Selected NIH Opportunities ,Research Program Projects & Centers; Research Projects,P20,Centers of Biomedical Research Excellence (COBRE) (P20),PAR-16-415,,"January 24, 2017; January 24, 2018; and January 24, 2019",,25-Jan-19,0,0,1
271,Selected NCI-Led Opportunities,Research Projects,NCI Omnibus R03,NCI Small Grants Program for Cancer Research (NCI Omnibus R03),PAR-16-416,,"February 28, 2017; June 27, 2017; October 26, 2017; February 27, 2018; June 29, 2018; October 26, 2018; February 26, 2019; June 28, 2019; October 25, 2019",,8-Jan-20,1,0,1
